"Cloudlet ID","Status","Data center ID","VM ID","Time","Start Time","Finish Time","Waiting","Completion","Cost","CPU Utilization"
"57","SUCCESS","97","97","105.92","00.1","106.02","00","105.92","317.77","00.3"
"47","SUCCESS","38","38","126.29","00.1","126.39","00","126.29","378.87","00.96"
"63","SUCCESS","44","44","151.12","00.1","151.22","00","151.12","453.37","00.31"
"08","SUCCESS","100","100","237.46","00.1","237.56","00","237.46","712.39","01.09"
"75","SUCCESS","58","58","244.15","00.1","244.25","00","244.15","732.44","00.67"
"79","SUCCESS","76","76","246.19","00.1","246.28","00","246.19","738.56","01.41"
"94","SUCCESS","67","67","253.38","00.1","253.48","00","253.38","760.13","00.71"
"126","SUCCESS","100","100","55.42","237.56","292.98","237.46","292.88","166.25","00.12"
"13","SUCCESS","25","25","331.54","00.1","331.64","00","331.54","994.63","00.68"
"170","SUCCESS","28","28","347.96","00.1","348.06","00","347.96","1043.88","00.73"
"64","SUCCESS","27","27","370.91","00.1","371.01","00","370.91","1112.72","02.65"
"107","SUCCESS","71","71","371.38","00.1","371.48","00","371.38","1114.14","02.85"
"10","SUCCESS","49","49","374.93","00.1","375.03","00","374.93","1124.78","01.08"
"66","SUCCESS","39","39","383.56","00.1","383.66","00","383.56","1150.66","02.06"
"09","SUCCESS","17","17","388.38","00.1","388.48","00","388.38","1165.13","00.97"
"106","SUCCESS","61","61","397.04","00.1","397.14","00","397.04","1191.11","01.03"
"00","SUCCESS","48","48","434.65","00.1","434.75","00","434.65","1303.95","05.74"
"04","SUCCESS","96","96","441.89","00.1","441.99","00","441.89","1325.67","01.18"
"103","SUCCESS","95","95","442.44","00.1","442.54","00","442.44","1327.33","12.96"
"74","SUCCESS","88","88","446.87","00.1","446.97","00","446.87","1340.6","02.91"
"58","SUCCESS","99","99","463.53","00.1","463.63","00","463.53","1390.58","07.49"
"19","SUCCESS","12","12","468.75","00.1","468.85","00","468.75","1406.24","08.08"
"01","SUCCESS","86","86","471.15","00.1","471.25","00","471.15","1413.44","02.08"
"189","SUCCESS","42","42","475.73","00.1","475.83","00","475.73","1427.19","03.04"
"07","SUCCESS","29","29","477.6","00.1","477.7","00","477.6","1432.81","01.82"
"77","SUCCESS","31","31","482.74","00.1","482.84","00","482.74","1448.21","01.89"
"34","SUCCESS","16","16","492.97","00.1","493.07","00","492.97","1478.9","02.86"
"179","SUCCESS","52","52","507.1","00.1","507.2","00","507.1","1521.29","01.34"
"44","SUCCESS","65","65","511.62","00.1","511.72","00","511.62","1534.85","01.11"
"15","SUCCESS","02","02","520.2","00.1","520.3","00","520.2","1560.59","01.61"
"02","SUCCESS","35","35","536.11","00.1","536.21","00","536.11","1608.33","01.66"
"05","SUCCESS","11","11","546.11","00.1","546.21","00","546.11","1638.33","02.64"
"43","SUCCESS","79","79","546.27","00.1","546.38","00","546.27","1638.82","30.28"
"27","SUCCESS","20","20","548.01","00.1","548.11","00","548.01","1644.03","02.3"
"113","SUCCESS","22","22","554.89","00.1","554.99","00","554.89","1664.67","01.5"
"146","SUCCESS","57","57","559.68","00.1","559.78","00","559.68","1679.03","02.01"
"164","SUCCESS","21","21","564.16","00.1","564.26","00","564.16","1692.49","03.56"
"82","SUCCESS","82","82","566.41","00.1","566.51","00","566.41","1699.23","02.32"
"199","SUCCESS","94","94","588.37","00.1","588.47","00","588.37","1765.12","01.3"
"18","SUCCESS","84","84","599.72","00.1","599.82","00","599.72","1799.15","01.4"
"39","SUCCESS","70","70","600.45","00.1","600.55","00","600.45","1801.34","04.08"
"65","SUCCESS","51","51","604.82","00.1","604.92","00","604.82","1814.47","01.98"
"16","SUCCESS","92","92","606.95","00.1","607.05","00","606.95","1820.86","01.32"
"45","SUCCESS","59","59","608.04","00.1","608.14","00","608.04","1824.11","01.23"
"98","SUCCESS","63","63","612.64","00.1","612.74","00","612.64","1837.91","07.88"
"24","SUCCESS","50","50","643.16","00.1","643.26","00","643.16","1929.49","08.62"
"145","SUCCESS","83","83","643.8","00.1","643.9","00","643.8","1931.4","01.3"
"52","SUCCESS","91","91","644.03","00.1","644.13","00","644.03","1932.1","02.15"
"81","SUCCESS","14","14","648.24","00.1","648.34","00","648.24","1944.72","02.93"
"14","SUCCESS","66","66","648.58","00.1","648.68","00","648.58","1945.75","03.57"
"32","SUCCESS","78","78","654.56","00.1","654.66","00","654.56","1963.69","06.91"
"31","SUCCESS","77","77","655.6","00.1","655.7","00","655.6","1966.79","01.51"
"37","SUCCESS","68","68","657.15","00.1","657.25","00","657.15","1971.44","01.71"
