"Cloudlet ID","Status","Data center ID","VM ID","Time","Start Time","Finish Time","Waiting","Completion","Cost","CPU Utilization","RAM Utilization"
"02","SUCCESS","08","08","189.89","00.1","189.99","00","189.89","569.67","01.25","01"
"05","SUCCESS","05","05","222.17","00.1","222.27","00","222.17","666.52","00.47","01"
"25","SUCCESS","06","06","237.39","00.1","237.49","00","237.39","712.17","04.2","01"
"12","SUCCESS","02","02","413.07","00.1","413.17","00","413.07","1239.2","01.02","01"
"04","SUCCESS","08","08","281.42","189.99","471.41","189.89","471.31","844.27","10.23","01"
"01","SUCCESS","11","11","597.45","00.1","597.55","00","597.45","1792.34","13.82","01"
"06","SUCCESS","03","03","618.41","00.1","618.51","00","618.41","1855.22","03.47","01"
"00","SUCCESS","10","10","673.85","00.1","673.95","00","673.85","2021.55","04.29","01"
"36","SUCCESS","07","07","707.3","00.1","707.4","00","707.3","2121.91","03.16","01"
"03","SUCCESS","09","09","716.53","00.1","716.63","00","716.53","2149.58","13.04","01"
"14","SUCCESS","05","05","510.04","222.27","732.31","222.17","732.21","1530.11","20.75","01"
"16","SUCCESS","04","04","921.96","00.1","922.06","00","921.96","2765.89","01.99","01"
"09","SUCCESS","03","03","332.98","618.51","951.49","618.41","951.39","998.95","00.97","01"
"27","SUCCESS","06","06","721.96","237.49","959.45","237.39","959.35","2165.89","05.55","01"
"08","SUCCESS","08","08","535.27","471.41","1006.68","471.31","1006.58","1605.8","20","01"
"23","SUCCESS","02","02","686.65","413.17","1099.82","413.07","1099.72","2059.94","02.89","01"
"11","SUCCESS","10","10","459.21","673.95","1133.16","673.85","1133.06","1377.62","01.96","01"
"10","SUCCESS","11","11","581.13","597.55","1178.68","597.45","1178.58","1743.39","01.33","01"
"58","SUCCESS","07","07","688.5","707.4","1395.9","707.3","1395.8","2065.5","01.92","01"
"20","SUCCESS","05","05","673.22","732.31","1405.53","732.21","1405.43","2019.67","01.77","01"
"15","SUCCESS","03","03","482","951.49","1433.49","951.39","1433.39","1445.99","05.84","01"
"37","SUCCESS","11","11","266.99","1178.68","1445.67","1178.58","1445.57","800.98","00.58","01"
"30","SUCCESS","02","02","402.28","1099.82","1502.1","1099.72","1502","1206.84","01.45","01"
"13","SUCCESS","08","08","534.46","1006.68","1541.14","1006.58","1541.04","1603.37","10.18","01"
"07","SUCCESS","09","09","842.77","716.63","1559.39","716.53","1559.3","2528.3","06.98","01"
"18","SUCCESS","04","04","686.31","922.06","1608.37","921.96","1608.27","2058.92","05.74","01"
"59","SUCCESS","10","10","604.8","1133.16","1737.95","1133.06","1737.85","1814.39","03.69","01"
"28","SUCCESS","06","06","797.19","959.45","1756.64","959.35","1756.54","2391.56","50.17","01"
"24","SUCCESS","05","05","485.96","1405.53","1891.5","1405.43","1891.4","1457.89","01","01"
"53","SUCCESS","02","02","481.49","1502.1","1983.58","1502","1983.48","1444.46","09.6","01"
"17","SUCCESS","03","03","610.89","1433.49","2044.38","1433.39","2044.28","1832.68","05.23","01"
"21","SUCCESS","08","08","658.71","1541.14","2199.85","1541.04","2199.75","1976.13","04.07","01"
"43","SUCCESS","11","11","796.59","1445.67","2242.26","1445.57","2242.16","2389.77","02.39","01"
"22","SUCCESS","09","09","693.34","1559.39","2252.73","1559.3","2252.63","2080.01","06.4","01"
"95","SUCCESS","10","10","596.14","1737.95","2334.09","1737.85","2333.99","1788.42","01.86","01"
"41","SUCCESS","05","05","503.74","1891.5","2395.24","1891.4","2395.14","1511.23","01.45","01"
"65","SUCCESS","07","07","1093.68","1395.9","2489.59","1395.8","2489.49","3281.05","07.72","01"
"35","SUCCESS","04","04","946.51","1608.37","2554.88","1608.27","2554.78","2839.52","04.25","01"
"66","SUCCESS","02","02","676.51","1983.58","2660.09","1983.48","2659.99","2029.52","09.23","01"
"55","SUCCESS","05","05","291.54","2395.24","2686.78","2395.14","2686.68","874.63","01.18","01"
"29","SUCCESS","06","06","978.43","1756.64","2735.07","1756.54","2734.97","2935.3","41.36","01"
"32","SUCCESS","08","08","682.93","2199.85","2882.77","2199.75","2882.67","2048.78","01.43","01"
"19","SUCCESS","03","03","842.27","2044.38","2886.66","2044.28","2886.56","2526.82","06.35","01"
"56","SUCCESS","05","05","234.99","2686.78","2921.78","2686.68","2921.68","704.98","03.44","01"
"68","SUCCESS","07","07","473.67","2489.59","2963.26","2489.49","2963.16","1421.02","01.64","01"
"26","SUCCESS","09","09","736.92","2252.73","2989.65","2252.63","2989.55","2210.76","03.37","01"
"70","SUCCESS","02","02","336.47","2660.09","2996.56","2659.99","2996.46","1009.4","00.77","01"
"96","SUCCESS","10","10","686.91","2334.09","3021","2333.99","3020.9","2060.72","03.24","01"
"119","SUCCESS","02","02","169.46","2996.56","3166.02","2996.46","3165.92","508.39","02.16","01"
"33","SUCCESS","03","03","336.92","2886.66","3223.57","2886.56","3223.47","1010.76","03.56","01"
"48","SUCCESS","11","11","986.28","2242.26","3228.54","2242.16","3228.44","2958.84","03.67","01"
"38","SUCCESS","04","04","674.83","2554.88","3229.71","2554.78","3229.61","2024.49","03.3","01"
"34","SUCCESS","08","08","513.04","2882.77","3395.81","2882.67","3395.71","1539.13","01.24","01"
"64","SUCCESS","05","05","540.42","2921.78","3462.2","2921.68","3462.1","1621.27","04.39","01"
"31","SUCCESS","09","09","535.25","2989.65","3524.9","2989.55","3524.8","1605.74","01.24","01"
"44","SUCCESS","06","06","799.44","2735.07","3534.51","2734.97","3534.41","2398.33","06.04","01"
"42","SUCCESS","03","03","322.9","3223.57","3546.47","3223.47","3546.37","968.69","03.96","01"
"123","SUCCESS","10","10","609.12","3021","3630.12","3020.9","3630.02","1827.37","04.19","01"
"74","SUCCESS","07","07","709.18","2963.26","3672.44","2963.16","3672.34","2127.53","01.42","01"
"40","SUCCESS","04","04","477.08","3229.71","3706.79","3229.61","3706.69","1431.23","03.46","01"
"47","SUCCESS","03","03","282.98","3546.47","3829.45","3546.37","3829.35","848.95","00.78","01"
"54","SUCCESS","11","11","642.93","3228.54","3871.47","3228.44","3871.37","1928.79","01.47","01"
"136","SUCCESS","02","02","710.4","3166.02","3876.41","3165.92","3876.31","2131.19","02.16","01"
"92","SUCCESS","08","08","485.2","3395.81","3881.01","3395.71","3880.91","1455.6","02.51","01"
"45","SUCCESS","06","06","498.89","3534.51","4033.41","3534.41","4033.31","1496.68","01.21","01"
"77","SUCCESS","07","07","370.18","3672.44","4042.61","3672.34","4042.51","1110.53","01.56","01"
"78","SUCCESS","05","05","655.45","3462.2","4117.65","3462.1","4117.55","1966.34","01.35","01"
"132","SUCCESS","10","10","501.95","3630.12","4132.07","3630.02","4131.97","1505.84","07.53","01"
"61","SUCCESS","11","11","299.99","3871.47","4171.46","3871.37","4171.36","899.97","00.74","01"
"139","SUCCESS","02","02","374.27","3876.41","4250.68","3876.31","4250.58","1122.81","01.12","01"
"39","SUCCESS","09","09","728.83","3524.9","4253.73","3524.8","4253.63","2186.48","02.64","01"
"49","SUCCESS","09","09","110.02","4253.73","4363.74","4253.63","4363.64","330.05","01.75","01"
"51","SUCCESS","04","04","748","3706.79","4454.78","3706.69","4454.68","2243.99","01.81","01"
"72","SUCCESS","03","03","705.04","3829.45","4534.49","3829.35","4534.39","2115.12","26.28","01"
"101","SUCCESS","08","08","668.28","3881.01","4549.3","3880.91","4549.2","2004.85","01.33","01"
"145","SUCCESS","10","10","524.35","4132.07","4656.42","4131.97","4656.32","1573.04","08.78","01"
"80","SUCCESS","07","07","731.74","4042.61","4774.36","4042.51","4774.26","2195.23","01.69","01"
"57","SUCCESS","04","04","368.27","4454.78","4823.05","4454.68","4822.95","1104.8","01.78","01"
"62","SUCCESS","11","11","671.02","4171.46","4842.48","4171.36","4842.38","2013.06","01.57","01"
"46","SUCCESS","06","06","818.91","4033.41","4852.32","4033.31","4852.22","2456.72","06.42","01"
"147","SUCCESS","02","02","626.42","4250.68","4877.1","4250.58","4877","1879.25","06.88","01"
"79","SUCCESS","05","05","763.7","4117.65","4881.35","4117.55","4881.25","2291.11","01.8","01"
"105","SUCCESS","08","08","584.2","4549.3","5133.5","4549.2","5133.4","1752.61","03.87","01"
"154","SUCCESS","10","10","506.37","4656.42","5162.79","4656.32","5162.69","1519.12","04.72","01"
"52","SUCCESS","09","09","825.32","4363.74","5189.06","4363.64","5188.96","2475.96","04.64","01"
"100","SUCCESS","03","03","658.21","4534.49","5192.7","4534.39","5192.6","1974.63","02.14","01"
"87","SUCCESS","07","07","443.62","4774.36","5217.97","4774.26","5217.87","1330.85","01.13","01"
"108","SUCCESS","08","08","118.32","5133.5","5251.83","5133.4","5251.73","354.97","00.63","01"
"69","SUCCESS","11","11","473.56","4842.48","5316.05","4842.38","5315.95","1420.69","01.26","01"
"149","SUCCESS","02","02","552.53","4877.1","5429.63","4877","5429.53","1657.59","01.29","01"
"50","SUCCESS","06","06","695.11","4852.32","5547.43","4852.22","5547.33","2085.34","05.42","01"
"88","SUCCESS","05","05","725.52","4881.35","5606.87","4881.25","5606.77","2176.55","01.95","01"
"103","SUCCESS","03","03","512.9","5192.7","5705.6","5192.6","5705.5","1538.69","06.18","01"
"71","SUCCESS","09","09","522.16","5189.06","5711.22","5188.96","5711.12","1566.48","02.25","01"
"60","SUCCESS","04","04","931.27","4823.05","5754.31","4822.95","5754.21","2793.8","21.22","01"
"89","SUCCESS","07","07","602.12","5217.97","5820.09","5217.87","5819.99","1806.35","02.7","01"
"91","SUCCESS","05","05","388.1","5606.87","5994.97","5606.77","5994.87","1164.31","05.38","01"
"63","SUCCESS","06","06","457.65","5547.43","6005.08","5547.33","6004.98","1372.94","01.05","01"
"73","SUCCESS","11","11","769.69","5316.05","6085.73","5315.95","6085.63","2309.06","02.32","01"
"111","SUCCESS","03","03","385.07","5705.6","6090.66","5705.5","6090.56","1155.2","04.31","01"
"116","SUCCESS","08","08","853.2","5251.83","6105.03","5251.73","6104.93","2559.61","02.26","01"
"155","SUCCESS","10","10","969.61","5162.79","6132.4","5162.69","6132.3","2908.82","18.74","01"
"151","SUCCESS","02","02","705.08","5429.63","6134.71","5429.53","6134.61","2115.23","01.62","01"
"84","SUCCESS","04","04","445.76","5754.31","6200.07","5754.21","6199.97","1337.27","02.03","01"
"93","SUCCESS","07","07","479.69","5820.09","6299.78","5819.99","6299.68","1439.07","03.39","01"
"102","SUCCESS","05","05","423.54","5994.97","6418.51","5994.87","6418.41","1270.61","02.98","01"
"104","SUCCESS","04","04","295.96","6200.07","6496.03","6199.97","6495.93","887.87","00.94","01"
"76","SUCCESS","09","09","824.67","5711.22","6535.89","5711.12","6535.79","2474.01","03.04","01"
"127","SUCCESS","03","03","597.18","6090.66","6687.84","6090.56","6687.74","1791.53","01.21","01"
"168","SUCCESS","02","02","621.82","6134.71","6756.53","6134.61","6756.43","1865.47","01.61","01"
"122","SUCCESS","04","04","331.42","6496.03","6827.45","6495.93","6827.35","994.26","01.98","01"
"156","SUCCESS","10","10","716.04","6132.4","6848.44","6132.3","6848.34","2148.11","15.17","01"
"129","SUCCESS","08","08","762.94","6105.03","6867.97","6104.93","6867.87","2288.83","02.63","01"
"106","SUCCESS","05","05","454.22","6418.51","6872.73","6418.41","6872.63","1362.66","02.24","01"
"187","SUCCESS","02","02","136.48","6756.53","6893","6756.43","6892.9","409.43","00.43","01"
"67","SUCCESS","06","06","1046.64","6005.08","7051.72","6004.98","7051.62","3139.92","10.84","01"
"85","SUCCESS","11","11","1005.78","6085.73","7091.52","6085.63","7091.41","3017.35","04.28","01"
"90","SUCCESS","09","09","592.82","6535.89","7128.72","6535.79","7128.62","1778.47","12.27","01"
"97","SUCCESS","07","07","856.88","6299.78","7156.66","6299.68","7156.56","2570.65","04.74","01"
"138","SUCCESS","03","03","523.1","6687.84","7210.94","6687.74","7210.84","1569.3","01.64","01"
"165","SUCCESS","10","10","535.64","6848.44","7384.08","6848.34","7383.98","1606.92","02.38","01"
"125","SUCCESS","04","04","617.05","6827.45","7444.49","6827.35","7444.39","1851.14","01.74","01"
