"Cloudlet ID","Status","Data center ID","VM ID","Time","Start Time","Finish Time","Waiting","Completion","Cost","CPU Utilization"
"00","SUCCESS","05","05","575.8","00.5","576.3","00","575.8","1727.39","02.6"
"01","SUCCESS","06","06","401.1","00.5","401.6","00","401.1","1203.3","08.98"
"02","SUCCESS","03","03","572.23","00.5","572.73","00","572.23","1716.68","08.02"
"03","SUCCESS","05","05","765.13","576.3","1341.43","575.8","1340.93","2295.39","06.29"
"04","SUCCESS","04","04","592.84","00.5","593.34","00","592.84","1778.52","04.75"
"05","SUCCESS","05","05","603.35","1341.43","1944.78","1340.93","1944.28","1810.05","01.29"
"06","SUCCESS","02","02","626.99","00.5","627.49","00","626.99","1880.97","01.76"
"07","SUCCESS","06","06","716.03","401.6","1117.63","401.1","1117.13","2148.08","02.45"
"08","SUCCESS","03","03","649.85","572.73","1222.58","572.23","1222.08","1949.55","01.42"
"09","SUCCESS","06","06","460.27","1117.63","1577.9","1117.13","1577.4","1380.82","05.61"
"10","SUCCESS","04","04","794.56","593.34","1387.91","592.84","1387.41","2383.69","03.55"
"11","SUCCESS","06","06","752.22","1577.9","2330.12","1577.4","2329.62","2256.65","03.55"
"12","SUCCESS","03","03","455.5","1222.58","1678.08","1222.08","1677.58","1366.49","01.08"
"13","SUCCESS","04","04","199.17","1387.91","1587.08","1387.41","1586.58","597.51","00.83"
"14","SUCCESS","06","06","883.26","2330.12","3213.38","2329.62","3212.88","2649.79","04.6"
"15","SUCCESS","04","04","865.7","1587.08","2452.77","1586.58","2452.27","2597.09","03.02"
"16","SUCCESS","02","02","552.67","627.49","1180.16","626.99","1179.66","1658","01.9"
"17","SUCCESS","02","02","616.69","1180.16","1796.84","1179.66","1796.34","1850.06","09.45"
"18","SUCCESS","03","03","657.13","1678.08","2335.2","1677.58","2334.7","1971.38","01.35"
"19","SUCCESS","03","03","891.55","2335.2","3226.75","2334.7","3226.25","2674.64","03.5"
"20","SUCCESS","05","05","549.73","1944.78","2494.51","1944.28","2494.01","1649.19","01.99"
"21","SUCCESS","06","06","104.64","3213.38","3318.02","3212.88","3317.52","313.91","00.3"
"22","SUCCESS","02","02","317.7","1796.84","2114.54","1796.34","2114.04","953.09","01.08"
"23","SUCCESS","04","04","314.07","2452.77","2766.85","2452.27","2766.35","942.22","02.56"
"24","SUCCESS","05","05","915.47","2494.51","3409.98","2494.01","3409.48","2746.42","02.83"
"25","SUCCESS","03","03","335.16","3226.75","3561.91","3226.25","3561.41","1005.49","00.87"
"26","SUCCESS","05","05","362.38","3409.98","3772.36","3409.48","3771.86","1087.13","02.02"
"27","SUCCESS","06","06","472.46","3318.02","3790.48","3317.52","3789.98","1417.37","01.32"
"28","SUCCESS","02","02","145.95","2114.54","2260.49","2114.04","2259.99","437.85","00.44"
"29","SUCCESS","06","06","844.13","3790.48","4634.6","3789.98","4634.1","2532.38","06.76"
"30","SUCCESS","04","04","647.83","2766.85","3414.67","2766.35","3414.17","1943.48","02.73"
"31","SUCCESS","06","06","601.33","4634.6","5235.93","4634.1","5235.43","1803.98","03.64"
"32","SUCCESS","06","06","183.6","5235.93","5419.53","5235.43","5419.03","550.81","01.97"
"33","SUCCESS","04","04","647.29","3414.67","4061.97","3414.17","4061.47","1941.88","05.95"
"34","SUCCESS","04","04","385.58","4061.97","4447.55","4061.47","4447.05","1156.75","01.37"
"35","SUCCESS","06","06","700.03","5419.53","6119.56","5419.03","6119.06","2100.09","05.28"
"36","SUCCESS","02","02","307.95","2260.49","2568.44","2259.99","2567.94","923.86","00.74"
"37","SUCCESS","05","05","560.35","3772.36","4332.7","3771.86","4332.2","1681.04","01.76"
"38","SUCCESS","06","06","788.88","6119.56","6908.44","6119.06","6907.94","2366.63","05.21"
"39","SUCCESS","04","04","153.65","4447.55","4601.2","4447.05","4600.7","460.96","00.67"
"Makespan using QLearning:","6010.479710866763"
"Total Completion Time:","110377.8"
"Avg Completion Time:","2759.445"
"Total Cost:","65910.58"
"Avg Cost:","1647.7645"
"Avg Waiting Time:","2210.19025"
